000000001010_00000_000_00001_0010011  // addi x1,x0,10
000000001101_00000_000_00010_0010011  // addi x2,x0,13
0000000_00010_00001_000_00011_0110011  // add x3,x1,x2
000000000011_00000_000_01010_0010011  // addi x10,x0,3
000000000111_00000_000_00100_0010011  // addi x4,x0,7
0000001_00100_01010_000_00101_0110011  // mul x5,x10,x4
000000000101_00000_000_01011_0010011  // addi x11,x0,5
0000000_01010_01011_111_00110_0110011  // and x6,x11,x10
000000000110_00000_000_01100_0010011  // addi x12,x0,6
0000000_01011_01100_100_00111_0110011  // xor x7,x12,x11
000000000111_00000_000_01101_0010011  // addi x13,x0,7
0100000_01010_01101_000_01000_0110011  // sub x8,x13,x10
000000000011_00000_000_01001_0010011  // addi x9,x0,3
0000001_01001_01100_000_01011_0110011  // mul x11,x12,x9
000000001000_00000_000_01100_0010011  // addi x12,x0,8
000000001011_00000_000_01101_0010011  // addi x13,x0,11
0000000_01101_01100_000_01110_0110011  // add x14,x12,x13
000000001110_00000_000_01110_0010011  // addi x14,x0,14
000000000001_00000_000_01111_0010011  // addi x15,x0,1
0000000_01111_01110_001_10000_0110011  // sll x16,x14,x15
000000010000_00000_000_01111_0010011  // addi x15,x0,16
010000000010_01101_101_10001_0010011  // srai x17,x13,2
000000010001_00000_000_10000_0010011  // addi x16,x0,17
0000000_01111_10000_000_10010_0110011  // add x18,x16,x15
000000000101_00000_000_10011_0010011  // addi x19,x0,5
0000000_10011_01010_100_10100_0110011  // xor x20,x10,x19
000000010010_00000_000_10101_0010011  // addi x21,x0,18
000000010100_00000_000_10110_0010011  // addi x22,x0,20
0100000_10110_10101_000_10111_0110011  // sub x23,x21,x22
000000010111_00000_000_11111_0010011  // addi x31,x0,23
00000000000000000000000000000000  // EOF
