0000000_01011_11011_000_00001_0110011  // add x1,x27,x11
000000000001_00000_000_00011_0010011  // addi x3,x0,1
0000001_10010_11110_000_00010_0110011  // mul x2,x30,x18
000000000010_00000_000_01101_0010011  // addi x13,x0,2
0000000_00110_11011_100_00011_0110011  // xor x3,x27,x6
000000000011_00000_000_11111_0010011  // addi x31,x0,3
0000000_00100_01101_111_00100_0110011  // and x4,x13,x4
000000000100_00000_000_11010_0010011  // addi x26,x0,4
0000001_11011_01110_000_00101_0110011  // mul x5,x14,x27
000000000101_00000_000_01011_0010011  // addi x11,x0,5
010000000100_00011_101_00110_0010011  // srai x6,x3,4
000000000110_00000_000_01011_0010011  // addi x11,x0,6
0000000_01111_00101_000_00111_0110011  // add x7,x5,x15
000000000111_00000_000_00111_0010011  // addi x7,x0,7
010000001110_10100_101_01000_0010011  // srai x8,x20,14
000000001000_00000_000_10010_0010011  // addi x18,x0,8
0100000_01001_01010_000_01001_0110011  // sub x9,x10,x9
000000001001_00000_000_11111_0010011  // addi x31,x0,9
0000000_01111_10011_001_01011_0110011  // sll x11,x19,x15
000000001011_00000_000_11100_0010011  // addi x28,x0,11
000000000100_00000_000_01100_0010011  // addi x12,x0,4
0000000_01100_01101_000_01101_0110011  // add x13,x13,x12
000000001101_00000_000_10111_0010011  // addi x23,x0,13
0000000_01010_01100_001_01110_0110011  // sll x14,x12,x10
000000001110_00000_000_10110_0010011  // addi x22,x0,14
000000001011_00000_000_01111_0010011  // addi x15,x0,11
0100000_01111_11111_000_10000_0110011  // sub x16,x31,x15
000000010000_00000_000_01111_0010011  // addi x15,x0,16
0000000_11101_01010_100_10001_0110011  // xor x17,x10,x29
000000010001_00000_000_00100_0010011  // addi x4,x0,17
0100000_00100_10100_000_10010_0110011  // sub x18,x20,x4
000000010010_00000_000_00110_0010011  // addi x6,x0,18
0100000_10001_00010_000_10011_0110011  // sub x19,x2,x17
000000010011_00000_000_11100_0010011  // addi x28,x0,19
0100000_00100_11100_000_10100_0110011  // sub x20,x28,x4
000000010100_00000_000_11011_0010011  // addi x27,x0,20
0000000_10110_00010_111_10101_0110011  // and x21,x2,x22
000000010101_00000_000_00110_0010011  // addi x6,x0,21
000000001010_00000_000_10110_0010011  // addi x22,x0,10
0100000_10110_01101_000_10111_0110011  // sub x23,x13,x22
000000010111_00000_000_01010_0010011  // addi x10,x0,23
0000001_10011_11011_000_11000_0110011  // mul x24,x27,x19
000000011000_00000_000_01110_0010011  // addi x14,x0,24
00000000000000000000000000000000  // EOF
